p1_db	p2_db	alice_secret%	eve_probe%	eve_echo%	eve_secret%	adv%
40	40	100.0	100.0	100.0	100.0	0.0
40	30	100.0	100.0	100.0	100.0	0.0
40	20	100.0	100.0	100.0	100.0	0.0
40	10	100.0	100.0	100.0	100.0	0.0
40	0	100.0	100.0	100.0	100.0	0.0
40	-10	12.5	100.0	8.0	8.0	4.5
30	40	100.0	100.0	100.0	100.0	0.0
30	30	100.0	100.0	100.0	100.0	0.0
30	20	100.0	100.0	100.0	100.0	0.0
30	10	100.0	100.0	100.0	100.0	0.0
30	0	100.0	100.0	100.0	100.0	0.0
30	-10	13.5	100.0	12.0	12.0	1.5
20	40	100.0	100.0	100.0	100.0	0.0
20	30	100.0	100.0	100.0	100.0	0.0
20	20	100.0	100.0	100.0	100.0	0.0
20	10	100.0	100.0	100.0	100.0	0.0
20	0	100.0	100.0	100.0	100.0	0.0
20	-10	12.0	100.0	12.0	12.0	0.0
10	40	100.0	100.0	100.0	100.0	0.0
10	30	100.0	100.0	100.0	100.0	0.0
10	20	100.0	100.0	100.0	100.0	0.0
10	10	100.0	100.0	100.0	100.0	0.0
10	0	100.0	100.0	100.0	100.0	0.0
10	-10	15.5	100.0	8.5	8.5	7.0
0	40	100.0	100.0	100.0	100.0	0.0
0	30	100.0	100.0	100.0	100.0	0.0
0	20	100.0	100.0	100.0	100.0	0.0
0	10	100.0	100.0	100.0	100.0	0.0
0	0	100.0	100.0	100.0	100.0	0.0
0	-10	15.0	100.0	16.0	16.0	-1.0
-10	40	100.0	17.5	100.0	17.5	82.5
-10	30	100.0	19.0	100.0	19.0	81.0
-10	20	100.0	12.0	100.0	12.0	88.0
-10	10	100.0	16.0	100.0	16.0	84.0
-10	0	100.0	14.0	100.0	14.0	86.0
-10	-10	13.0	13.0	13.0	2.0	11.0
