p1_db	p2_db	alice_secret%	eve_probe%	eve_echo%	eve_secret%	adv%
40	-1	100.0	100.0	100.0	100.0	0.0
40	-2	100.0	100.0	100.0	100.0	0.0
40	-3	100.0	100.0	100.0	100.0	0.0
40	-4	100.0	100.0	100.0	100.0	0.0
40	-5	100.0	100.0	100.0	100.0	0.0
40	-6	99.5	100.0	98.5	98.5	1.0
40	-7	94.0	100.0	95.0	95.0	-1.0
40	-8	80.5	100.0	77.0	77.0	3.5
40	-9	47.0	100.0	46.5	46.5	0.5
40	-10	12.5	100.0	8.0	8.0	4.5
40	-15	0.0	100.0	0.0	0.0	0.0
40	-20	0.0	100.0	0.0	0.0	0.0
0	-1	100.0	100.0	100.0	100.0	0.0
0	-2	100.0	100.0	100.0	100.0	0.0
0	-3	100.0	100.0	100.0	100.0	0.0
0	-4	100.0	100.0	100.0	100.0	0.0
0	-5	100.0	100.0	100.0	100.0	0.0
0	-6	99.5	100.0	99.0	99.0	0.5
0	-7	94.5	100.0	93.0	93.0	1.5
0	-8	75.0	100.0	70.5	70.5	4.5
0	-9	43.5	100.0	50.0	50.0	-6.5
0	-10	15.0	100.0	16.0	16.0	-1.0
0	-15	0.0	100.0	0.0	0.0	0.0
0	-20	0.0	100.0	0.0	0.0	0.0
-10	-1	100.0	13.5	100.0	13.5	86.5
-10	-2	100.0	15.0	100.0	15.0	85.0
-10	-3	100.0	12.0	100.0	12.0	88.0
-10	-4	100.0	13.5	100.0	13.5	86.5
-10	-5	100.0	11.5	100.0	11.5	88.5
-10	-6	98.0	12.0	97.5	12.0	86.0
-10	-7	94.5	7.5	92.5	7.5	87.0
-10	-8	77.0	19.0	69.5	12.0	65.0
-10	-9	45.5	10.5	33.0	3.0	42.5
-10	-10	13.0	13.0	13.0	2.0	11.0
-10	-15	0.0	9.0	0.0	0.0	0.0
-10	-20	0.0	13.5	0.0	0.0	0.0
